cell,global_x,global_y,Z,fov,region_name,point_id
C1_8,40.34520427171923,6.683548265638344,8,C1,CA1,P8_7
C1_9,38.557272430523525,13.975013308312974,10,C1,CA1,P9_0
C1_9,38.8907487470863,11.322013634152038,10,C1,CA1,P9_1
C1_9,38.28436705447344,12.109378039778726,10,C1,CA1,P9_2
C1_9,41.127944545996634,12.336720163875647,8,C1,CA1,P9_3
C1_9,39.77952570560617,11.342102833106523,9,C1,CA1,P9_4
C1_9,39.02689423956792,10.587597918713255,10,C1,CA1,P9_5
C1_9,40.2765102394677,11.571416783736193,10,C1,CA1,P9_6
C1_9,40.01667069099924,12.610591395167596,12,C1,CA1,P9_7
C1_10,38.19460519424676,-1.433322704135676,9,C1,CA1,P10_0
C1_10,37.02692838484426,-0.689903717968809,9,C1,CA1,P10_1
C1_10,37.33678060560025,-3.686511988523769,11,C1,CA1,P10_2
C1_10,38.15487927613129,-1.0331522248431086,11,C1,CA1,P10_3
C1_10,39.57083875117973,-1.9611361325711174,11,C1,CA1,P10_4
C1_10,37.383645463782145,-3.2905403147745282,10,C1,CA1,P10_5
C1_10,37.95742820271958,-4.342462113594539,9,C1,CA1,P10_6
C1_10,38.945118889361254,-2.392814113983172,9,C1,CA1,P10_7
C1_11,35.884938764348256,9.946507524925904,12,C1,CA1,P11_0
C1_11,35.93393481712176,10.408129730729335,8,C1,CA1,P11_1
C1_11,38.10252726959125,13.244598646214795,11,C1,CA1,P11_2
C1_11,35.42093956545156,11.495861194976717,11,C1,CA1,P11_3
C1_11,35.83880317443925,13.382795452961744,8,C1,CA1,P11_4
C1_11,37.24929751581625,11.158286356304867,11,C1,CA1,P11_5
C1_11,34.24838774114666,10.7125448790528,12,C1,CA1,P11_6
C1_11,37.10627943181032,11.753754429711101,11,C1,CA1,P11_7
C1_12,32.65047322690895,9.422850914470125,8,C1,CA1,P12_0
C1_12,32.12940138130768,7.331322672463887,12,C1,CA1,P12_1
C1_12,32.28384976059798,5.0974573716995195,9,C1,CA1,P12_2
C1_12,32.315655269848094,7.075631563555383,11,C1,CA1,P12_3
C1_12,33.544354681429716,7.75670976289743,10,C1,CA1,P12_4
C1_12,32.559298753195165,5.222708057229397,11,C1,CA1,P12_5
C1_12,32.02541754629678,6.805260032528446,9,C1,CA1,P12_6
C1_12,32.30372580343935,5.550490213314286,9,C1,CA1,P12_7
C1_13,-5.3036485184898075,35.26108203936783,11,C1,SLM,P13_0
C1_13,-6.533240539624674,35.49043417531788,11,C1,SLM,P13_1
C1_13,-6.560689324344767,35.89448599254083,12,C1,SLM,P13_2
C1_13,-5.6642421118600135,35.715533539317015,8,C1,SLM,P13_3
C1_13,-6.841028412043513,34.57562756574322,12,C1,SLM,P13_4
C1_13,-7.433616962076227,34.386433805717694,8,C1,SLM,P13_5
C1_13,-6.215872209535245,34.97063150378577,10,C1,SLM,P13_6
C1_13,-8.938409131608324,35.91583857377404,12,C1,SLM,P13_7
C1_14,1.7997608308885369,42.74419374241991,12,C1,SLM,P14_0
C1_14,1.8390094142316094,44.18123590650201,10,C1,SLM,P14_1
C1_14,1.9594833248999564,45.02852691325506,11,C1,SLM,P14_2
C1_14,1.3024657789927077,42.378422508347015,10,C1,SLM,P14_3
C1_14,2.4107343740902287,43.49578891746067,8,C1,SLM,P14_4
C1_14,-0.4206743678787741,40.676985467785066,9,C1,SLM,P14_5
C1_14,1.769577730814513,43.80084479714797,8,C1,SLM,P14_6
C1_14,-0.19293864617628587,44.120646689525344,12,C1,SLM,P14_7
C1_15,-4.170109947223672,40.05552601462547,8,C1,SLM,P15_0
C1_15,-2.287271636660519,40.99295778508431,12,C1,SLM,P15_1
C1_15,-2.525162109805157,39.02212852307101,11,C1,SLM,P15_2
C1_15,-1.861408746022943,39.20426959539198,12,C1,SLM,P15_3
C1_15,-1.939240458114858,41.92533159795639,9,C1,SLM,P15_4
C1_15,-4.248471493437713,39.26110405628566,11,C1,SLM,P15_5
C1_15,-4.285592344134138,41.716825810636806,8,C1,SLM,P15_6
C1_15,-1.5054084846698417,39.37741919645907,10,C1,SLM,P15_7
C1_16,5.611226061670902,39.2453709712895,9,C1,SLM,P16_0
C1_16,4.706944902604578,37.93065426935462,10,C1,SLM,P16_1
C1_16,6.226448846224702,36.53794525969954,9,C1,SLM,P16_2
C1_16,7.885513249836384,38.65055650050009,10,C1,SLM,P16_3
C1_16,3.6591178613832738,39.03885206913157,9,C1,SLM,P16_4
C1_16,4.828318906239321,39.79641652162315,10,C1,SLM,P16_5
C1_16,5.140802994286459,38.61295028650428,10,C1,SLM,P16_6
C1_16,5.106240172716934,38.41580867363647,11,C1,SLM,P16_7
C1_17,6.052989027921439,36.27772101061091,12,C1,SLM,P17_0
C1_17,4.632042897914271,38.22771454835632,9,C1,SLM,P17_1
C1_17,6.833476277778342,38.17672057398858,11,C1,SLM,P17_2
C1_17,6.238480358774812,33.83534495796703,11,C1,SLM,P17_3
C1_17,6.479761900172419,36.75360999954979,9,C1,SLM,P17_4
C1_17,5.1374534824699865,35.413093415749145,8,C1,SLM,P17_5
C1_17,4.831540812859988,37.87269961825746,8,C1,SLM,P17_6
C1_17,4.73039414184698,35.997692050426565,12,C1,SLM,P17_7
C1_18,7.052466720348645,39.59744476914958,10,C1,SLM,P18_0
C1_18,9.05729815076662,40.12876231017183,11,C1,SLM,P18_1
C1_18,7.433757231620404,38.90533574152051,9,C1,SLM,P18_2
C1_18,9.567474468146346,38.67538960121738,12,C1,SLM,P18_3
C1_18,7.11748781246113,41.04286577042779,12,C1,SLM,P18_4
C1_18,9.755761896533365,39.96169570030237,11,C1,SLM,P18_5
C1_18,9.520424641326393,41.76328609810806,9,C1,SLM,P18_6
C1_18,9.394406125670697,38.56862771601508,8,C1,SLM,P18_7
C1_19,31.66701614622495,39.78176130126682,9,C1,DG,P19_0
C1_19,33.37084209379669,38.21752974392462,9,C1,DG,P19_1
C1_19,30.109588728970227,34.95186001815807,12,C1,DG,P19_2
C1_19,31.906899957892726,37.49111639840486,11,C1,DG,P19_3
C1_19,33.85205056193254,36.58426312896718,12,C1,DG,P19_4
C1_19,29.209384841564113,37.27636061644506,12,C1,DG,P19_5
C1_19,31.370375311816808,37.40690332442066,11,C1,DG,P19_6
C1_19,30.82335272350456,39.09949203705708,8,C1,DG,P19_7
C1_20,40.050840649996125,39.93546969737383,9,C1,DG,P20_0
C1_20,38.406850777421226,37.13354590516897,10,C1,DG,P20_1
C1_20,40.61931146809965,39.21198585206383,10,C1,DG,P20_2
C1_20,38.22371685973444,36.2230598819579,11,C1,DG,P20_3
C1_20,40.44456746841111,38.7937743248382,8,C1,DG,P20_4
C1_20,38.6730680775306,39.4556421424876,9,C1,DG,P20_5
C1_20,39.246272220785066,36.773389332914114,11,C1,DG,P20_6
C1_20,37.971767789504526,38.1215755388688,8,C1,DG,P20_7
C1_21,32.28591757489208,39.063969872107556,12,C1,DG,P21_0
C1_21,31.468400045288554,39.5522596480592,8,C1,DG,P21_1
C1_21,34.82541689615052,40.95888029994977,11,C1,DG,P21_2
C1_21,34.85659307708891,42.709984578934304,12,C1,DG,P21_3
C1_21,32.861342009864046,42.793340131505936,9,C1,DG,P21_4
C1_21,33.47084869766705,41.729581265177075,12,C1,DG,P21_5
C1_21,31.756104861462195,40.2557411749364,11,C1,DG,P21_6
C1_21,34.19850596210126,40.75262530103993,11,C1,DG,P21_7
C1_22,37.27458326128156,30.290593149394844,12,C1,DG,P22_0
C1_22,37.53487248118188,32.51503671388553,11,C1,DG,P22_1
C1_22,37.02773472104235,31.23847277747533,10,C1,DG,P22_2
C1_22,36.68320746597753,29.678110919467137,9,C1,DG,P22_3
C1_22,38.336727591205644,30.470243891567154,9,C1,DG,P22_4
C1_22,38.943139457578475,30.857528032994313,9,C1,DG,P22_5
C1_22,38.90337948827405,31.02237321382902,8,C1,DG,P22_6
C1_22,39.43936299826058,31.27416925000972,10,C1,DG,P22_7
C1_23,26.895662705844813,39.12046012508218,9,C1,DG,P23_0
C1_23,24.619175422161867,41.332176211558654,11,C1,DG,P23_1
C1_23,24.71160609880689,39.66931952148519,8,C1,DG,P23_2
C1_23,27.458585467460626,40.198961073278525,8,C1,DG,P23_3
C1_23,25.86887909732102,39.56213040368522,11,C1,DG,P23_4
C1_23,26.425766903378932,42.17753304495327,10,C1,DG,P23_5
C1_23,27.268484334303732,40.10660161318789,10,C1,DG,P23_6
C1_23,25.040996472991388,40.91612766577062,10,C1,DG,P23_7
C1_24,37.069436229407245,29.49576755430869,9,C1,DG,P24_0
C1_24,36.90581475471494,30.746184401924285,12,C1,DG,P24_1
C1_24,35.04223087352191,28.640899793388364,8,C1,DG,P24_2
C1_24,37.587492754886554,30.949300943952927,10,C1,DG,P24_3
C1_24,38.08956615082656,32.07830300064255,12,C1,DG,P24_4
C1_24,36.99439490465618,29.279261880692005,9,C1,DG,P24_5
C1_24,35.88294829305431,29.956406676971575,10,C1,DG,P24_6
C1_24,37.283112268375845,30.52210374998716,10,C1,DG,P24_7
C1_25,76.98893628870105,0.903667369364802,10,C1,SO,P25_0
C1_25,78.87787407770483,-0.05978225973595119,8,C1,SO,P25_1
C1_25,79.15986464219365,2.205273628205574,10,C1,SO,P25_2
C1_25,78.35840184054285,-0.2672271593647283,11,C1,SO,P25_3
C1_25,76.31533229926356,-0.17010120831433373,9,C1,SO,P25_4
C1_25,79.24749291697444,-1.2549784292650363,9,C1,SO,P25_5
C1_25,79.26804333211511,2.992385784576067,12,C1,SO,P25_6
C1_25,78.66219772719295,0.5546031498528727,9,C1,SO,P25_7
C1_26,68.563607218639,7.319902224830962,11,C1,SO,P26_0
C1_26,66.3502812452828,8.273902939925236,9,C1,SO,P26_1
C1_26,67.89075087045386,7.8069287959579,12,C1,SO,P26_2
C1_26,68.90652785911624,8.350599658955145,8,C1,SO,P26_3
C1_26,68.50611544287997,7.835178290606727,12,C1,SO,P26_4
C1_26,69.14315326020957,5.864636227952664,12,C1,SO,P26_5
C1_26,67.93695224734458,6.165360357305404,8,C1,SO,P26_6
C1_26,70.0864256540546,3.930444984644448,12,C1,SO,P26_7
C1_27,77.56511373055545,4.177768478187596,9,C1,SO,P27_0
C1_27,80.01035971771293,3.095935842463869,9,C1,SO,P27_1
C1_27,79.47313098128511,4.4781459980619935,11,C1,SO,P27_2
C1_27,80.22907964825734,3.7631787506376657,12,C1,SO,P27_3
C1_27,76.82106993232091,4.650149126977679,12,C1,SO,P27_4
C1_27,79.38327970781768,4.451340701161232,9,C1,SO,P27_5
C1_27,81.44183581851742,2.927114246384084,9,C1,SO,P27_6
C1_27,77.8760559841919,4.234706504247312,9,C1,SO,P27_7
C1_28,70.61791693747176,-0.5025478767037201,11,C1,SO,P28_0
C1_28,65.53546630554588,-0.8680888410930934,12,C1,SO,P28_1
C1_28,66.90892214047543,-2.369344091879541,10,C1,SO,P28_2
C1_28,70.11951298861914,-2.481499896352304,10,C1,SO,P28_3
C1_28,70.29087767534031,0.3703854706672072,10,C1,SO,P28_4
C1_28,70.15035941084447,-2.1328158971361924,8,C1,SO,P28_5
C1_28,67.8237866063036,-1.9084710659482784,12,C1,SO,P28_6
C1_28,70.32352887634022,-1.781199656919555,9,C1,SO,P28_7
C1_29,63.13385144724586,2.2913075512243184,10,C1,SO,P29_0
C1_29,63.323708269826,0.5542199703627759,9,C1,SO,P29_1
C1_29,62.565658240821676,2.5660829982548194,8,C1,SO,P29_2
C1_29,64.37486976232007,0.3804782622572811,9,C1,SO,P29_3
C1_29,63.95649845045326,-0.30509093445490265,12,C1,SO,P29_4
C1_29,63.23408658909153,2.41804377542637,11,C1,SO,P29_5
C1_29,64.0513684870345,1.5072809606251165,8,C1,SO,P29_6
C1_29,64.06266390173333,2.3604076909433065,12,C1,SO,P29_7
C1_30,69.18170409960912,2.054898393585138,8,C1,SO,P30_0
C1_30,69.83534701617306,-0.30885636188119636,11,C1,SO,P30_1
C1_30,68.24014054509698,-0.2200922667215115,10,C1,SO,P30_2
C1_30,70.07142104093604,2.156708339805333,9,C1,SO,P30_3
C1_30,68.68441403063649,1.9955845176607783,12,C1,SO,P30_4
C1_30,67.70043576999454,-0.00776079275007624,10,C1,SO,P30_5
C1_30,68.37274107270682,3.3772376285988823,12,C1,SO,P30_6
C1_30,70.88989586095364,3.265553054442753,10,C1,SO,P30_7
C1_31,69.00639392308156,40.96791430082523,11,C1,DG,P31_0
C1_31,70.53479271293216,41.965963584269744,9,C1,DG,P31_1
C1_31,70.4916197796818,42.75579299861532,11,C1,DG,P31_2
C1_31,69.47752569328851,40.28949037144755,9,C1,DG,P31_3
C1_31,69.73622108430094,40.898178259403615,8,C1,DG,P31_4
C1_31,70.21108566665214,40.72907059305008,10,C1,DG,P31_5
C1_31,69.56724077859327,40.24981478546151,12,C1,DG,P31_6
C1_31,70.24499580246427,42.017141672779765,11,C1,DG,P31_7
C1_32,77.13353387942992,38.70938554029691,11,C1,DG,P32_0
C1_32,79.74433723358462,38.5361243854217,12,C1,DG,P32_1
C1_32,77.17697796057766,36.59426378052503,9,C1,DG,P32_2
C1_32,78.9263117204651,36.63005104664773,12,C1,DG,P32_3
C1_32,80.64266210100828,36.95367493060861,10,C1,DG,P32_4
C1_32,79.65931294552779,35.91938127933327,9,C1,DG,P32_5
C1_32,77.87030084719528,38.931261353973056,10,C1,DG,P32_6
C1_32,77.7219212163872,36.298315562172675,10,C1,DG,P32_7
C1_33,76.45011266188635,35.77184812682117,8,C1,DG,P33_0
C1_33,79.32313328902973,36.24399437011529,12,C1,DG,P33_1
C1_33,77.85055050539174,37.435686079070685,12,C1,DG,P33_2
C1_33,77.75252433730049,39.06370656517138,8,C1,DG,P33_3
C1_33,80.79529088981107,36.99201715930496,8,C1,DG,P33_4
C1_33,77.5425859361304,36.14964460663993,8,C1,DG,P33_5
C1_33,75.48678281444985,38.270345852463564,12,C1,DG,P33_6
C1_33,80.98052477314737,37.5200878422931,9,C1,DG,P33_7
C1_34,67.90045864553575,37.670834501346796,10,C1,DG,P34_0
C1_34,69.82187648249096,40.265938442219145,10,C1,DG,P34_1
C1_34,69.0709723352376,39.67403783805315,8,C1,DG,P34_2
C1_34,71.83335711546647,39.767287373040304,10,C1,DG,P34_3
C1_34,67.79063852050851,41.55717668779279,10,C1,DG,P34_4
C1_34,70.59081744264631,40.2467106446745,9,C1,DG,P34_5
C1_34,72.56118285459813,40.11910131128521,8,C1,DG,P34_6
C1_34,67.54819656573757,39.33344384139258,8,C1,DG,P34_7
C1_35,77.64825193410323,39.97470741306213,11,C1,DG,P35_0
C1_35,76.78516767676214,39.35259628970206,9,C1,DG,P35_1
C1_35,77.49876221421442,38.196317964661354,11,C1,DG,P35_2
C1_35,76.38070004820604,39.34980992419265,11,C1,DG,P35_3
C1_35,78.10881716020421,38.49740980509703,8,C1,DG,P35_4
C1_35,75.13872334047164,38.211152187763496,9,C1,DG,P35_5
C1_35,79.0442526089444,37.98512811465964,12,C1,DG,P35_6
C1_35,78.66544734646723,39.14808382519865,9,C1,DG,P35_7
C1_36,69.19689613362924,38.12168115835975,8,C1,DG,P36_0
C1_36,75.41109165424109,39.056677184409175,11,C1,DG,P36_1
C1_36,70.58694670374565,36.992372757015936,8,C1,DG,P36_2
C1_36,68.48805228210763,37.245120212128555,12,C1,DG,P36_3
C1_36,70.91239798705831,36.760556287703224,8,C1,DG,P36_4
C1_36,71.79693314884767,37.527409456066735,11,C1,DG,P36_5
C1_36,69.81330410853114,36.624081952414215,11,C1,DG,P36_6
C1_36,71.01443939201198,38.96200947410899,12,C1,DG,P36_7
