cell_id,global_x,global_y,region_name,total_counts,auto_label_v5,auto_confidence_v5,Slc17a7,Snap25,Gad1,Gad2,Gfap,Aqp4,C1qa,Tyrobp,Kdr,Pecam1,Mbp,Olig1
REF_016,37.32268712358871,4.779438668715966,CA1,90,GABA_Neuron,medium,2,28,22,24,1,5,3,1,2,2,0,0
REF_017,28.96222256752707,1.3395294967551012,CA1,99,GABA_Neuron,high,1,33,28,24,1,1,1,2,1,1,3,3
REF_018,31.683401528727007,-1.584924565996607,CA1,85,GABA_Neuron,high,1,22,24,26,1,0,1,2,2,0,3,3
REF_019,36.47149826029694,2.0344653902384198,CA1,88,GABA_Neuron,high,2,20,30,23,1,3,0,2,2,2,1,2
REF_020,40.77100315286505,4.775489782236124,CA1,71,GABA_Neuron,medium,0,22,19,24,2,0,1,2,0,0,1,0
REF_021,31.32246310149491,0.1286993661670035,CA1,95,GABA_Neuron,high,1,26,27,27,3,2,2,1,0,2,2,2
REF_022,45.28667553164117,0.9694272294775734,CA1,82,GABA_Neuron,high,2,22,26,22,0,4,1,2,1,0,0,2
REF_023,44.94540103982277,8.068594529198469,CA1,80,GABA_Neuron,high,0,27,22,23,2,2,2,1,0,0,1,0
REF_024,34.03563300490066,7.659120257828594,CA1,75,GABA_Neuron,medium,2,26,25,15,0,1,0,2,0,3,0,1
REF_025,-5.54845161705794,39.767319970456036,SLM,55,Astro-Epen,high,0,0,2,2,18,23,4,2,0,0,2,2
REF_026,3.159468839537905,37.94625686463711,SLM,69,Astro-Epen,high,1,1,1,3,23,31,1,1,1,3,2,1
REF_027,-1.601638527113333,36.849773827111456,SLM,54,Astro-Epen,high,1,0,1,0,25,20,4,1,0,0,2,0
REF_028,6.363532122091864,30.773656334011793,SLM,51,Astro-Epen,medium,0,1,1,1,17,26,2,0,1,2,0,0
REF_029,7.4732995504053354,39.69198282853146,SLM,72,Astro-Epen,high,2,2,2,0,26,27,1,3,1,2,4,2
REF_030,-2.2029176496325507,37.979633434232134,SLM,75,Astro-Epen,high,3,1,2,2,30,28,0,2,1,3,3,0
REF_031,0.557661019082316,36.41875270393929,SLM,78,Astro-Epen,high,1,3,0,2,30,28,3,1,3,2,3,2
REF_032,-0.019861606009118092,34.6715303802724,SLM,75,Astro-Epen,medium,1,3,2,1,29,31,3,2,1,2,0,0
REF_033,-3.44340177211539,29.16741023465353,SLM,67,Astro-Epen,high,2,6,0,1,25,25,3,0,1,0,4,0
REF_034,0.7947097356812609,39.76880853140537,SLM,58,Astro-Epen,high,0,1,0,1,22,22,3,2,1,2,3,1
REF_035,2.3429276462554984,41.86107650735619,SLM,68,Astro-Epen,high,2,1,2,3,28,22,2,0,3,1,3,1
REF_036,2.8684522991459662,40.05481407261279,SLM,68,Astro-Epen,medium,2,1,2,2,31,23,2,1,1,2,0,1
REF_037,37.287418349162245,27.867673005121826,DG,64,Immune,high,1,3,2,2,3,4,24,20,0,3,2,0
REF_038,31.410712393454006,30.401804227038447,DG,75,Immune,high,5,5,2,1,1,3,22,29,2,4,1,0
REF_039,23.87882713938113,45.60321895633903,DG,57,Immune,high,0,0,1,4,1,0,25,17,2,1,2,4
REF_040,41.03757475811726,31.37330886246966,DG,68,Immune,medium,3,1,1,1,1,3,21,29,3,2,1,2
REF_041,36.852132668074404,29.19636524073858,DG,61,Immune,high,2,0,2,1,3,0,28,22,0,1,2,0
REF_042,40.05651372178892,38.87002089940454,DG,77,Immune,high,3,2,5,1,2,0,26,29,5,1,2,1
REF_043,33.19744265990169,28.235612807233466,DG,59,Immune,high,3,0,1,0,1,1,21,24,2,5,0,1
REF_044,32.96605716322927,35.76841001204098,DG,60,Immune,medium,1,2,0,1,0,1,22,26,2,2,1,2
REF_045,30.767796994483792,41.09327218660065,DG,66,Immune,high,1,1,0,4,1,2,30,21,2,2,1,1
REF_046,39.210977829274455,35.53743526661506,DG,59,Immune,high,2,2,1,1,1,0,19,25,1,4,1,2
REF_047,28.095871283946828,39.68790921196302,DG,67,Immune,high,1,1,5,0,1,1,22,28,1,3,2,2
REF_048,30.73814131405716,26.361849868889188,DG,71,Immune,medium,2,0,0,2,2,2,23,34,1,1,3,1
REF_049,72.27235146527526,-8.16750278505524,SO,76,Vascular,high,6,1,0,3,2,3,2,4,33,20,0,2
REF_050,73.94152878035534,-0.360964751155372,SO,72,Vascular,high,2,3,3,1,1,0,2,1,35,22,1,1
REF_051,69.78552592744455,8.763056651196845,SO,74,Vascular,high,1,4,1,5,3,2,1,2,22,27,2,4
REF_052,71.15308068182988,-0.6163184061794986,SO,64,Vascular,medium,0,1,3,1,1,0,1,2,24,26,4,1
REF_053,64.87383442809525,0.9978119315577763,SO,56,Vascular,high,0,1,0,1,3,2,0,0,27,19,3,0
REF_054,71.18646175994,4.989275736142792,SO,65,Vascular,high,1,0,2,0,0,2,3,1,30,24,0,2
REF_055,68.97984924911502,-5.5143854455035495,SO,58,Vascular,high,0,3,1,1,1,0,0,2,25,20,4,1
REF_056,73.22237109117788,8.383566921996186,SO,61,Vascular,medium,1,2,2,3,0,0,4,2,21,26,0,0
REF_057,58.73442303302373,0.15953299306944316,SO,82,Vascular,high,2,2,2,1,1,1,1,3,30,36,2,1
REF_058,68.87713255825446,-3.877906972905642,SO,58,Vascular,high,1,0,0,3,4,4,1,2,21,21,0,1
REF_059,71.8835773546855,10.276500080620522,SO,73,Vascular,high,1,4,2,3,0,3,2,1,26,28,3,0
REF_060,67.18083916744509,-2.8795471977510365,SO,64,Vascular,medium,2,3,1,1,0,1,1,1,28,22,4,0
REF_061,65.6748416603766,31.040223332558615,DG,60,OPC-Oligo,high,2,0,1,2,2,3,1,1,2,1,21,24
REF_062,55.35567275917283,35.371342461290936,DG,62,OPC-Oligo,high,1,1,0,3,2,5,1,1,0,2,25,21
REF_063,68.68859734270178,29.175488272069902,DG,68,OPC-Oligo,high,1,3,2,0,2,1,0,3,1,3,25,27
REF_064,73.62441762150306,30.767493948739652,DG,71,OPC-Oligo,medium,3,4,2,2,1,3,2,1,1,0,23,29
REF_065,70.6662442323625,32.76037771775299,DG,71,OPC-Oligo,high,1,3,0,4,4,0,2,2,2,0,26,27
REF_066,64.19270332709975,30.81709049204114,DG,73,OPC-Oligo,high,5,1,1,1,0,1,3,1,3,0,30,27
REF_067,69.20710517106887,31.464665693958857,DG,69,OPC-Oligo,high,3,0,0,4,3,1,3,0,0,1,24,30
REF_068,68.10389210745986,36.97119389099946,DG,62,OPC-Oligo,medium,1,1,0,1,3,0,5,1,2,4,23,21
REF_069,71.16819130480084,44.66072881672762,DG,52,OPC-Oligo,high,0,0,1,3,2,2,1,0,2,1,25,15
REF_070,70.56338690051442,38.20083704191534,DG,61,OPC-Oligo,high,3,0,2,2,0,0,1,2,0,2,32,17
REF_071,80.43640351885011,36.30330151758969,DG,61,OPC-Oligo,high,0,3,1,0,2,3,0,5,1,1,20,25
REF_072,67.42814290627274,30.745352453795597,DG,69,OPC-Oligo,medium,4,1,0,1,1,3,1,3,5,0,25,25
